0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
0	0	0	8	0	25	0	0	7	12	0	0	0	0	0	0	
0	0	0	0	0	86	0	0	65	75	0	0	0	0	0	13	
0	0	0	0	48	30	0	0	101	62	0	0	0	0	0	36	

0	0	0	181	0	0	0	0	0	0	62	9	0	0	0	0	
0	0	0	38	0	0	0	0	0	23	43	3	0	0	6	0	
0	0	0	11	0	7	0	0	0	14	37	0	0	0	23	0	
0	0	0	1	0	22	0	0	23	10	0	0	0	0	11	0	
0	0	0	0	0	44	0	0	41	0	0	0	0	0	46	17	
0	0	0	0	0	23	0	0	42	0	0	0	0	0	27	0	
0	0	0	60	0	0	0	0	0	0	0	13	0	0	0	0	
0	0	0	58	0	2	0	0	0	0	0	19	0	0	0	0	
0	0	0	17	0	19	0	0	2	9	0	0	0	0	0	0	
0	0	0	0	0	26	0	0	24	47	0	12	0	0	0	0	
0	0	0	0	0	78	0	0	90	107	3	0	0	0	0	59	
0	0	0	0	88	24	0	0	90	40	0	0	0	0	0	63	

0	0	0	152	0	0	0	0	0	0	48	11	0	0	0	0	
0	0	0	38	0	0	0	0	0	40	25	35	0	0	0	7	
0	0	0	41	0	0	0	0	0	19	75	0	0	0	6	19	
0	0	0	7	0	15	0	0	6	0	16	0	0	0	22	18	
0	0	0	5	0	31	0	0	11	0	0	0	0	0	27	10	
0	0	0	9	0	13	0	0	9	0	0	2	0	0	22	0	
0	0	0	31	0	7	0	0	0	0	0	14	0	0	0	0	
0	0	0	32	0	13	0	0	0	0	0	15	0	0	0	0	
0	0	0	10	0	23	0	0	9	23	0	13	0	0	0	0	
0	0	0	0	0	45	0	0	69	80	0	6	0	0	0	17	
0	0	0	0	0	57	0	0	72	77	12	0	0	0	0	90	
0	0	0	0	68	1	0	0	78	11	0	0	0	0	0	45	

0	0	0	123	0	0	0	0	0	0	38	0	0	0	0	0	
0	0	0	15	0	0	0	0	29	35	0	27	0	0	0	13	
0	0	0	69	0	0	0	0	0	13	68	25	0	0	0	14	
